client_name,project_name,project_scope,project_end,renewal_date,status
"BRIGHTWAVE MEDIA LLC","Brand Refresh","SEO & CRO","2026-12-31","2026-09-18","active"
"North Star Labs, Inc","Lifecycle Automation","Email + Ads","2026-09-30","2026-08-15","active"
"Harbour and Pine Studio","Website Overhaul","Design + CRO","2026-10-31","2026-10-02","active"
"ASHCROFT RETAIL GROUP","Storefront Refresh","Ecommerce conversion work","2026-08-15","2026-07-12","active"
"Crestline Health Co.","Healthcare Content Build","CMS migration","","2026-09-25","active"
"Blue Cedar Foods","Paid Social Setup","Creative + media buying","2027-01-31","2026-12-22","active"
"Summit Public Works","Brand Positioning","Strategy sprint","2026-09-30","2026-08-08","active"
"Pelican Point Maritime","SEO Rebuild","Search + content","2026-10-31","2026-09-12","active"
"Norse Harbor Group","CRM Migration","Systems integration","2026-11-30","2026-09-21","active"
"Wren & Finch","Media Buying","Paid social","2026-12-15","2026-10-15","active"
"Southwind Hospitality","Retention Strategy","Strategy advisory","2026-11-20","2026-09-30","active"
"Merrick & Co","Rebrand Sprint","Creative strategy","2026-08-13","2026-08-13","active"
"Oak & Ember Partners","Campaign Ops","Search engine marketing","","2026-10-30","active"
